epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,580.203,1.06011,0.90911,1.46485,0.82829,0.90741,0.93226,0.61313,1.15237,0.64678,1.4844,0.0004555,0.0004555,0.0004555
57,595.778,1.09879,0.92517,1.49279,0.84283,0.94444,0.94442,0.5916,1.14778,0.71225,1.53298,0.0004456,0.0004456,0.0004456
58,611.129,1.12471,0.9457,1.51665,0.93774,0.88889,0.95724,0.6372,1.10682,0.67805,1.47802,0.0004357,0.0004357,0.0004357
59,625.337,1.08408,0.90905,1.47704,0.94329,0.92405,0.92406,0.60496,1.14316,0.6208,1.50832,0.0004258,0.0004258,0.0004258
60,636.747,1.09507,0.95399,1.48871,0.87649,0.92002,0.92455,0.61455,1.12835,0.63366,1.48012,0.0004159,0.0004159,0.0004159
61,646.188,1.10458,0.92885,1.46894,0.89417,0.85185,0.91272,0.5952,1.20913,0.7284,1.53056,0.000406,0.000406,0.000406
62,655.724,1.04878,0.90657,1.45479,0.83395,0.96296,0.93853,0.64498,1.11968,0.61125,1.47468,0.0003961,0.0003961,0.0003961
63,665.337,1.10174,0.94861,1.49392,0.91024,0.87037,0.9326,0.62533,1.15877,0.64035,1.52948,0.0003862,0.0003862,0.0003862
64,674.688,1.07515,0.87059,1.45593,0.94187,0.90031,0.95138,0.64436,1.12668,0.5967,1.49378,0.0003763,0.0003763,0.0003763
65,684.095,1.04271,0.90914,1.44854,0.97952,0.88593,0.976,0.63141,1.05985,0.63569,1.44075,0.0003664,0.0003664,0.0003664
66,693.455,1.09797,0.91781,1.48862,0.92318,0.92593,0.9772,0.6459,1.112,0.60616,1.46477,0.0003565,0.0003565,0.0003565
67,702.896,1.04137,0.86836,1.42707,0.9106,0.94318,0.96649,0.64203,1.03702,0.60052,1.43792,0.0003466,0.0003466,0.0003466
68,712.299,1.08487,0.88422,1.4559,0.94198,0.96296,0.97817,0.60035,1.11691,0.64012,1.47823,0.0003367,0.0003367,0.0003367
69,721.91,1.06839,0.86592,1.46222,0.91053,0.94234,0.92613,0.56711,1.21487,0.60244,1.54881,0.0003268,0.0003268,0.0003268
70,731.32,1.00704,0.84101,1.41748,0.92698,0.94037,0.9575,0.61218,1.14023,0.63037,1.50505,0.0003169,0.0003169,0.0003169
71,740.746,1.03696,0.85923,1.43552,0.88911,0.96296,0.97058,0.61141,1.14846,0.63689,1.46398,0.000307,0.000307,0.000307
72,750.456,1.06207,0.84999,1.431,0.85167,0.95698,0.94909,0.60383,1.08803,0.65102,1.46817,0.0002971,0.0002971,0.0002971
73,760.112,1.06781,0.8702,1.45483,0.88879,0.90741,0.93863,0.57217,1.26673,0.6953,1.50943,0.0002872,0.0002872,0.0002872
74,769.441,1.03015,0.88201,1.45052,0.92172,0.94444,0.96618,0.63414,1.11669,0.62653,1.48738,0.0002773,0.0002773,0.0002773
75,778.878,1.05935,0.88947,1.44253,0.82257,0.98148,0.95294,0.61666,1.11581,0.68106,1.48509,0.0002674,0.0002674,0.0002674
76,788.611,1.01569,0.8392,1.43002,0.91596,0.81481,0.93766,0.63452,1.11326,0.67951,1.45789,0.0002575,0.0002575,0.0002575
77,798.392,0.99332,0.81163,1.41694,0.89081,0.90646,0.96433,0.64298,1.09191,0.6323,1.51059,0.0002476,0.0002476,0.0002476
78,813.668,1.00294,0.79422,1.41042,0.86275,0.90741,0.93047,0.65398,1.06348,0.63226,1.42998,0.0002377,0.0002377,0.0002377
79,828.993,1.01158,0.82195,1.4054,0.87409,0.90003,0.92544,0.63728,1.12291,0.63305,1.50594,0.0002278,0.0002278,0.0002278
80,843.205,1.02739,0.83707,1.41551,0.88669,0.90741,0.94557,0.65604,1.06863,0.61021,1.49349,0.0002179,0.0002179,0.0002179
81,853.775,0.98475,0.8325,1.40122,0.90506,0.88889,0.94344,0.66748,1.06632,0.58861,1.46948,0.000208,0.000208,0.000208
82,863.365,0.95547,0.75338,1.37426,0.92424,0.90372,0.93925,0.65322,1.06214,0.58755,1.45893,0.0001981,0.0001981,0.0001981
83,873.039,1.03145,0.84085,1.43234,0.90685,0.90147,0.93131,0.64535,1.07787,0.5996,1.46125,0.0001882,0.0001882,0.0001882
84,892.836,0.98177,0.8112,1.392,0.8901,0.90002,0.92744,0.65257,1.09086,0.58679,1.49572,0.0001783,0.0001783,0.0001783
85,921.865,0.98345,0.80852,1.38666,0.9086,0.92058,0.92545,0.65257,1.08946,0.57906,1.50713,0.0001684,0.0001684,0.0001684
86,950.433,0.98422,0.815,1.39152,0.91968,0.90741,0.9387,0.66287,1.10079,0.58749,1.50992,0.0001585,0.0001585,0.0001585
87,979.032,0.97545,0.78574,1.39217,0.9346,0.92593,0.94139,0.63794,1.15065,0.56479,1.54069,0.0001486,0.0001486,0.0001486
88,1007.49,0.9698,0.80258,1.38171,0.92665,0.87037,0.93245,0.64145,1.08657,0.61816,1.49989,0.0001387,0.0001387,0.0001387
89,1034.72,1.00018,0.80454,1.40078,0.92297,0.88755,0.9313,0.65409,1.10645,0.60279,1.52135,0.0001288,0.0001288,0.0001288
90,1062.56,0.98771,0.78369,1.39098,0.93246,0.88889,0.95634,0.64583,1.10409,0.63741,1.5191,0.0001189,0.0001189,0.0001189
91,1129.61,0.75033,0.58342,1.26155,0.95289,0.90741,0.94744,0.64138,1.065,0.63336,1.46424,0.000109,0.000109,0.000109
92,1157.23,0.74114,0.48826,1.29545,0.94198,0.90204,0.96016,0.63599,1.07631,0.62738,1.48731,9.91e-05,9.91e-05,9.91e-05
93,1184.97,0.70661,0.43701,1.23838,0.93114,0.88889,0.94294,0.64522,1.06382,0.59403,1.46766,8.92e-05,8.92e-05,8.92e-05
94,1212.26,0.71015,0.41747,1.23672,0.87528,0.94444,0.94995,0.67556,1.04445,0.58044,1.44045,7.93e-05,7.93e-05,7.93e-05
95,1237.5,0.6999,0.41609,1.22968,0.90524,0.92593,0.9658,0.67208,1.03279,0.59751,1.43724,6.94e-05,6.94e-05,6.94e-05
96,1264.64,0.68878,0.38999,1.2078,0.94297,0.90741,0.96798,0.65983,1.02457,0.58522,1.4295,5.95e-05,5.95e-05,5.95e-05
97,1292.25,0.70109,0.40999,1.23423,0.92645,0.93313,0.96831,0.65483,1.04273,0.59081,1.43513,4.96e-05,4.96e-05,4.96e-05
98,1320.07,0.68821,0.38875,1.2331,0.90932,0.94444,0.96872,0.65229,1.01728,0.59686,1.42155,3.97e-05,3.97e-05,3.97e-05
99,1347.87,0.67935,0.38096,1.20432,0.9362,0.94444,0.97299,0.66857,1.00504,0.60911,1.40614,2.98e-05,2.98e-05,2.98e-05
100,1376.24,0.66242,0.37674,1.1989,0.94306,0.94444,0.97252,0.66777,1.01323,0.60636,1.41139,1.99e-05,1.99e-05,1.99e-05
